coderome,a_pourvoir_le,titre_offre,date_publication,des_que_possible_desc,diplome,duree_contrat,nb_postes,numero,created,niveau_formation,experience,commune_emploi,employeur_nom_entreprise,employeur_adresse_correspondance_subdivision,activites_multivalue,competences_multivalue,contact_mail
D1213,2025-03-27,Vendeur / Vendeuse comptoir de matériels et équipements,2025-03-27 07:30:11+00,Dès que possible,Commerce - vente,3 mois,1,2025-03-021455,2025-03-27 07:30:11+00,Bac +2,Au moins 3 ans,Nouméa,SEDQ,98845 NOUMEA CEDEX,"Développer et fidéliser la relation client,Traiter les demandes et réclamations des clients selon la procédure établie et en proposant des solutions adaptées,Rendre compte de son action, de risques ou d'anomalies au responsable,Renseigner les logiciels de gestion,Conclure une vente,Organiser et agencer l'espace de vente en mettant en valeur les produits, les nouveautés, les collections et les promotions,Réaliser des animations commerciales dans l'espace de vente,Représenter et mettre en valeur l'image de l'entreprise,Proposer des produits additionnels,Définir des modalités de paiement adaptées,Informer sur les conditions de vente,Informer sur la disponibilité des produits,Traiter des sollicitations en après-vente,Définir des besoins en approvisionnement,Identifier, traiter une demande client,Dynamiser l'espace de vente pour inciter le client à découvrir de nouveaux produits,Présenter et valoriser un produit ou un service","Argumentation commerciale,Techniques commerciales,Gestion commerciale, relation clients,Logiciel de gestion de stocks",drh@sedq.nc
G1602,2024-12-13,Chef de partie,2024-12-13 09:39:16+00,Dès que possible,Restauration,3 mois,1,2024-12-020373,2024-12-13 09:39:16+00,"CAP, BEP",Au moins 1 an,Nouméa,MALONGO CAFE STORE,98800 Nouméa,"Conditionner des produits,Mettre en oeuvre les processus et les modes opératoires techniques,Respecter les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE),Cuisiner des sauces,Contrôler l'état des stocks,Concevoir des recettes et menus,Préparer des ustensiles de cuisine,Préparer des plats cuisinés,Définir des besoins en approvisionnement,Entretenir, nettoyer un espace, un lieu, un local,Cuire des viandes, poissons ou légumes,Entretenir un équipement, une machine, une installation,Éplucher des légumes et des fruits,Lutter contre le gaspillage alimentaire,Évacuer, recycler des déchets, des produits,Relever, contrôler, ajuster des mesures et dosages,Aménager un poste et les conditions de travail,Dresser des plats pour le service,Manipuler des équipements de cuisine,Préparer les viandes et les poissons,Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison","Cuisine du monde,Législation alimentaire,Procédures de nettoyage et de désinfection,Fiches techniques de cuisine,Types de viande,Procédures de la marche en avant,Types de desserts,Règles et consignes de sécurité,Chaîne du froid,Système Hazard Analysis Critical Control Point (HACCP),Production culinaire,Familles de produits alimentaires,Types de produits traiteurs,Utilisation de plaques de cuisson,Utilisation d'outils tranchants (couteaux, hachoirs, ...),Variétés de fruits et légumes,Utilisation de four (à chaleur tournante, à air pulsé, ...),Gestes et postures de manutention,Règles d'hygiène et de sécurité alimentaire",cv@cafestore.nc
D1407,2025-04-16,Attaché technico-commercial / Attachée technico-commerciale,2025-04-16 12:16:32+00,Dès que possible,commerce,,1,2025-04-021625,2025-04-16 12:16:32+00,Bac +2,Au moins 3 ans,Nouméa,OTO DIS,98846 NOUMEA CEDEX,"Développer et fidéliser la relation client,Établir un plan de tournée de prospection (ciblage, interlocuteurs, préparation de dossiers techniques),Mettre en oeuvre des actions commerciales et promotionnelles,Établir un devis,Effectuer le suivi des commandes, la facturation,Établir un contrat de vente,Analyser les résultats des ventes,Négocier un contrat,Réaliser une étude d'opportunité et de faisabilité technique et économique,Élaborer une stratégie commerciale,Évaluer la mise en oeuvre d'un projet, plan d'action","Logiciel de gestion clients,Organisation de la chaîne logistique,Techniques commerciales,Droit commercial",resprh@cipac.nc
I1305,2025-03-17,Technicien / Technicienne de maintenance en électronique,2025-03-17 10:33:36+00,Dès que possible,,,1,2025-03-021341,2025-03-17 10:33:36+00,Bac +2,Au moins 3 ans,Nouméa,CIPAC MEDICAL,98846 NOUMEA CEDEX,"Assurer la traçabilité des interventions,Organiser et planifier une activité,Définir une procédure d'installation ou une configuration de système électronique en fonction de l'environnement client,Définir les caractéristiques techniques du produit,Installer un équipement électronique,Entretenir un équipement de contrôle ou de mesure,Définir les interventions sur un équipement selon le dossier technique,Participer à un travail collaboratif,Ajuster son intervention sur un équipement ou un système en fonction des risques,Contrôler le fonctionnement d'un équipement, d'une machine, d'une installation,Apporter une assistance technique,Changer ou réparer une pièce ou un ensemble défectueux,Vérifier par simulation, tests, essais, calculs, les fonctionnalités et les caractéristiques du système électrique ou électronique,Transmettre de l'information,Rendre compte de son activité,Identifier les composants et les pièces défectueuses,Réaliser un diagnostic technique,Configurer l'installation et effectuer sa mise au point","Électricité,Régulation et instrumentation,Habilitations électriques de travaux hors tension,Métrologie,Habilitations électriques de travaux sous tension,Électrotechnique,Gestion de Maintenance Assistée par Ordinateur (GMAO),Utilisation d'appareils de mesure électrique (multimètre, ...),Automatisme,Règles de sécurité,Lecture de plan, de schéma,Informatique",resprh@cipac.nc
H1303,2025-04-16,"Technicien / Technicienne en Hygiène, Sécurité, Environnement industriel -HSE-",2025-04-16 12:07:43+00,Dès que possible,HSE,,1,2025-04-021622,2025-04-16 12:07:20+00,"Bac + 3, bac + 4",Au moins 3 ans,Nouméa,CIPAC SA,98846 NOUMEA CEDEX,"Réaliser ou participer à la réalisation d'études de risques (identification, recensement, évaluation, ...),Vérifier le fonctionnement d'installations de surveillance et de traitement de rejets (eau, fumées, ...) ou de déchets,Contrôler la réalisation et les coûts d¿une prestation,Intégrer l'éco-responsabilité dans toutes les dimensions de son activité,Sélectionner des filières de traitement des déchets (industriels, spéciaux, ...) et tracer leur parcours,Contrôler des indicateurs de performance, analyser et corriger des écarts,Convaincre, négocier,Utiliser les outils bureautiques,Expliquer et faire respecter les règles et procédures,Rédiger un rapport, un compte rendu d'activité,Définir des mesures de prévention des risques,Établir un rapport d'accident et d'incident,Contrôler la validité de qualification des moyens et des personnes (habilitation, autorisation, agrément),Apporter un appui technique aux services qualité, maintenance, méthodes,Analyser un dysfonctionnement ou une non-conformité,Participer à l'innovation et contribuer à l'amélioration continue du travail,Formuler des propositions d'amélioration des process, des conditions de travail et de la santé et sécurité au travail,Participer à un travail collaboratif,Diriger les équipes de première intervention et/ou de premiers secours,Analyser et prévenir les risques,Animer, coordonner une équipe,Prévenir les risques environnementaux,Contrôler les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE),Former aux évolutions techniques et règlementaires","Réglementation sécurité incendie,Sécurité du travail,Démarche Hygiène, Sécurité et Environnement (HSE),Analyse des risques,Gestion des risques (Risk Management),Techniques de protection et de prévention des pollutions,Environnement / nature,Normes environnementales,Réglementation des Installations Classées pour la Protection de l'Environnement - ICPE,Plan de Prévention des Risques (PPR),Techniques pédagogiques",resprh@cipac.nc
M1403,2025-04-17,Data analyst,2025-04-17 09:07:50+00,Dès que possible,,,1,2025-04-021637,2025-04-17 09:07:50+00,Bac + 5 et plus,Au moins 3 ans,Nouméa,CAFAT,98849 NEA CEDEX,"Utiliser les outils bureautiques,Réaliser une veille documentaire,Définir et faire évoluer des procédés de traitement de l'information,Assister une structure dans l'interprétation et l'analyse d'une étude,Mettre en place des outils d'aide à la décision,Établir des prévisions, des évaluations, des recommandations, des perspectives,Réaliser des études spécifiques,Adapter les outils de traitement statistique de données,Analyser, exploiter, structurer des données,Rédiger l'information produite,Transmettre une technique, un savoir-faire,Présenter et diffuser les résultats des études réalisées,Réaliser un modèle de prévision",Analyse statistique,recrutement@cafat.nc
J1405,2025-04-17,Opticien-lunetier / Opticienne-lunetière,2025-04-17 17:26:01+00,Dès que possible,BTS OPTICIEN LUNETIER,,2,2025-04-021646,2025-04-17 17:26:01+00,Bac +2,Au moins 1 an,Nouméa,CLARO OPTICIEN,98800 NOUMEA,"Réaliser le suivi des règlements clients,Renseigner des documents médico-administratifs,Préparer les verres (centrage, axage, montage, ...), procéder à l'essayage sur le client et effectuer les ajustements,Prendre les mesures pour la réalisation de l'équipement optique et établir la fiche d'exécution des travaux,Renseigner le client sur les équipements optiques, les conditions de prise en charge par la Sécurité Sociale, les mutuelles, ... et le conseiller dans son choix,Étudier une demande client,Conseiller un client","Utilisation de matériel de montage optique,Techniques de vente,Techniques de traitement des verres,Techniques de prise de mesures optiques,Caractéristiques des verres optiques,Règles d'hygiène et d'asepsie,Utilisation d'appareil de mesure optique",olivier.gehin@lagoon.nc
G1602,2025-04-19,Second / Seconde de cuisine,2025-04-19 09:58:23+00,Dès que possible,,,1,2025-04-021654,2025-04-19 09:58:23+00,Aucune formation scolaire,Au moins 3 ans,Nouméa,Anonyme,,"Communiquer à l'oral en langue étrangère,Cuisiner des sauces,Préparer des glaces et des sorbets,Superviser la préparation des produits culinaires,Définir des besoins en approvisionnement,Entretenir, nettoyer un espace, un lieu, un local,Entretenir un équipement, une machine, une installation,Organiser le traitement des commandes,Éplucher des légumes et des fruits,Lutter contre le gaspillage alimentaire,Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison,Conditionner des produits,Mettre en oeuvre les processus et les modes opératoires techniques,Expliquer et faire respecter les règles et procédures,Respecter les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE),Contrôler l'état des stocks,Concevoir des recettes et menus,Préparer des ustensiles de cuisine,Préparer des plats cuisinés,Cuire des viandes, poissons ou légumes,Évacuer, recycler des déchets, des produits,Relever, contrôler, ajuster des mesures et dosages,Dresser des plats pour le service,Manipuler des équipements de cuisine,Préparer les viandes et les poissons",,
J1506,2024-12-16,Infirmier / Infirmière en gériatrie,2024-12-16 22:07:39+00,Dès que possible,DIPLOME IDE,,2,2024-12-020385,2024-12-16 22:07:39+00,"Bac + 3, bac + 4",Au moins 3 ans,Dumbéa,Anonyme,,"Réaliser des soins d'hygiène corporelle, de confort et de prévention,Réaliser un prélèvement biologique,Réaliser ou contrôler les soins d'hygiène, de confort et apporter une aide au patient (lever, marche, soins post opératoires...),Tenir à jour les dossiers médico-administratifs des patients,Informer un patient,Désinfecter et décontaminer un équipement,Assurer la gestion administrative d'une activité,Cerner l'état du patient (clinique, psychologique) et consigner les informations recueillies dans le dossier médical,Pratiquer des prises en charge de la douleur,Surveiller l'état de santé d'une personne,Surveiller l'état clinique du patient (constantes, fonctions d'élimination, comportement, ...) et informer l'équipe soignante/médicale sur l'évolution de l'état clinique,Réaliser les soins infirmiers, communiquer avec le patient (ressenti, douleur, ...) et actualiser le dossier de soins infirmiers (incidents, modifications d'état clinique, ...),Analyser des résultats d'examen médicaux,Organiser le plan de soins infirmiers selon les besoins des patients et préparer le chariot de soins ou la trousse médicale,Réaliser des soins infirmiers","Charte des droits du patient,Psychologie,Règles d'hygiène et d'asepsie",directioncordyline@gmail.com
G1601,2025-03-20,Chef de cuisine,2025-03-20 09:03:00+00,Dès que possible,Restauration,,1,2025-03-021377,2025-03-20 09:03:00+00,"CAP, BEP",Au moins 1 an,Nouméa,MALONGO CAFE STORE,98800 Nouméa,"Évaluer et développer les compétences de ses collaborateurs,Concevoir les menus, les cartes et définir les tarifs des plats,Utiliser les outils bureautiques,Expliquer et faire respecter les règles et procédures,Organiser et planifier une activité,Respecter les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE),Identifier et sélectionner des fournisseurs, sous-traitants, prestataires,Superviser la préparation des aliments,Contrôler l'état des stocks,Réaliser des tests de contrôle de fraîcheur des aliments, des préparations et prélever des échantillons pour le service d'hygiène,Réaliser un service en salle,Définir des besoins en approvisionnement,Organiser le traitement des commandes,Lutter contre le gaspillage alimentaire,Contrôler les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE),Évacuer, recycler des déchets, des produits,Transmettre une technique, un savoir-faire,Dresser des plats pour le service","Cuisine du monde,Techniques de planification,Conditionnement des aliments,Système Hazard Analysis Critical Control Point (HACCP),Chaîne du froid,Diététique,Fiches techniques de préparations culinaires,Chiffrage/calcul de coût,Logiciel de gestion de stocks,Procédures de la marche en avant",cv@cafestore.nc
M1203,2025-05-05,Comptable,2025-04-15 16:26:36+00,"",BTS COMPTA,,1,2025-04-021615,2025-04-15 16:26:29+00,Bac +2,Au moins 3 ans,Nouméa,Anonyme,,"Effectuer le suivi des commandes, la facturation,Codifier une facture,Contrôler la conformité des données ou des documents","Comptabilité client,Comptabilité générale",immobiliercomptablenc@gmail.com
D1212,2025-04-14,Vendeur / Vendeuse en produits multimédia,2025-04-14 08:41:01+00,Dès que possible,,3 mois,1,2025-04-021599,2025-04-14 08:41:01+00,"Bac, bac professionnel",Au moins 3 ans,Nouméa,MOBILE MANIA,98800 Nouméa,"Informer, renseigner une personne sur les articles en vente,Assurer un service après-vente,Gérer une caisse,Procéder à l'encaissement,Contrôler l'état des stocks,Acceuillir, orienter, informer une personne",,drh@mobilecity.nc
J1506,2025-07-14,Infirmier / Infirmière en gériatrie,2025-04-09 13:46:47+00,"",INFIRMIER(E) DIPLÔMÉ(E) D’ÉTAT (IDE),,1,2025-04-021573,2025-04-09 13:46:47+00,"Bac + 3, bac + 4",Au moins 3 ans,Dumbéa,Anonyme,,"Pratiquer des soins palliatifs,Pratiquer un suivi des pathologies chroniques stabilisées,Informer un patient,Réaliser des soins d'hygiène corporelle, de confort et de prévention,Réaliser un prélèvement biologique,Pratiquer un suivi en stomatothérapie,Désinfecter et décontaminer un équipement,Pratiquer des prises en charge de la douleur,Renseigner des documents médico-administratifs,Surveiller l'état de santé d'une personne,Pratiquer des soins de psychiatrie et de santé mentale,Réaliser des soins infirmiers","Charte des droits du patient,Démarche de Soins Infirmiers (DSI),Pathologies du vieillissement,Modalités de prise en charge de patients en fin de vie,Hygiène hospitalière,Pathologies psychiatriques",direction@cordyline-nc.com
M1203,2025-05-05,Aide-comptable,2025-04-14 16:14:35+00,"",BTS COMPTA,,1,2025-04-021607,2025-04-14 16:14:35+00,Bac +2,Au moins 3 ans,Nouméa,Anonyme,,"Codifier une facture,Réaliser des opérations comptables,Contrôler la conformité des données ou des documents","Comptabilité fournisseurs,Comptabilité client,Comptabilité générale",immobiliercomptablenc@gmail.com
G1801,2025-04-22,Barista,2025-04-22 11:00:58+00,Dès que possible,,1 mois,1,2025-04-021663,2025-04-22 11:00:58+00,"Bac, bac professionnel",Au moins 1 an,Nouméa,MR COFFEE NC,98800,"Communiquer à l'oral en langue étrangère,Essuyer et ranger la vaisselle, la verrerie, les ustensiles de cuisine,Vendre ou louer des produits ou des services,Communiquer à l'oral en milieu professionnel,Respecter les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE),Concevoir des recettes de cocktails avec ou sans alcool,Effectuer le service des plats à table,Réaliser la mise en place de la salle et de l'office,Accueillir le client et l'installer,Réaliser un service en salle,Concevoir des recettes et menus,Préparer des boissons chaudes ou froides,Réaliser un service au bar,Entretenir, nettoyer un espace, un lieu, un local,Communiquer avec l'équipe de salle,Prendre une commande client,Identifier, traiter une demande client",,direction@acpcar.nc
J1302,2024-06-01,Technicien / Technicienne de laboratoires d'analyses médicales,2025-04-28 06:09:48+00,"",,,2,2025-04-021694,2025-04-28 06:09:48+00,Bac +2,Aucune expérience professionnelle,Nouméa,LABORATOIRE DU CATALAN,98800 Nouméa,"Procéder au traitement de l'échantillon par centrifugation, dilution, chauffage, ... , surveiller le déroulement de l'analyse et consigner les données,Préparer les analyseurs, les réactifs, ... et l'échantillon biologique (fractionnement, répartition, ...) selon le type d'analyse,Déclencher un réapprovisionnement,Entretenir un poste de travail,Réceptionner et contrôler le prélèvement biologique et consigner la date, l'heure de prélèvement, les coordonnées du patient, ...,Détruire des déchets,Vérifier le fonctionnement des analyseurs, actualiser le registre de maintenance et informer en cas de dysfonctionnement,Désinfecter et décontaminer un équipement,Comparer les résultats de l'analyse aux résultats antérieurs, aux valeurs minimales/maximales et établir le compte rendu,Ranger des produits ou marchandises selon leurs dates de validité et les conditions de conservation,Suivre l'état des stocks","Guide de Bonne Utilisation de l'Informatique (GBUI),Procédures de bio nettoyage,Procédés de stérilisation,Procédés de validation biologique,Guide de Bonne Exécution des Analyses Médicales -GBEA-,Biocontamination,Règles d'hygiène et d'asepsie",direction@catalan.nc
D1407,2025-04-22,Attaché technico-commercial / Attachée technico-commerciale,2025-04-22 11:58:33+00,Dès que possible,,,1,2025-04-021667,2025-04-22 11:58:33+00,Bac +2,Au moins 5 ans,Dumbéa,Anonyme,,"Établir un plan de tournée de prospection (ciblage, interlocuteurs, préparation de dossiers techniques),Développer et fidéliser la relation client,Établir un devis,Mettre en oeuvre des actions commerciales et promotionnelles,Utiliser les outils bureautiques,Établir un contrat de vente,Lancer et gérer un appel d'offres,Analyser les résultats des ventes,Analyser une réponse à un appel d'offres,Mettre en oeuvre des actions de communication,Élaborer une stratégie commerciale,Évaluer la mise en oeuvre d'un projet, plan d'action",,mag@mapinternational.net.au
M1806,2025-03-24,Consultant / Consultante ERP - Enterprise Resource Planning,2025-03-24 14:02:48+00,Dès que possible,,,1,2025-03-021416,2025-03-24 14:02:48+00,,Au moins 3 ans,Nouméa,DEVEO.NC,98800 Nouméa,"Convaincre, négocier,Structurer, synthétiser des informations,Élaborer des solutions techniques et fonctionnelles,Rédiger un cahier des charges, des spécifications techniques","Progiciels de gestion intégrée d'entreprise (ERP),Comptabilité générale,Gestion commerciale, relation clients,Progiciels spécifiques à la logistique,Progiciels industriels et techniques",contact@deveo.nc
D1214,2025-04-25,Vendeur / Vendeuse en prêt-à-porter,2025-04-25 10:30:18+00,Dès que possible,,3 mois,2,2025-04-021691,2025-04-25 10:30:18+00,Bac +2,Au moins 1 an,Dumbéa,rec,,"Développer et fidéliser la relation client,Vendre ou louer des produits ou des services,Vérifier la symétrie et le bien-aller du vêtement sur mannequin ou lors de l'essayage,Gérer une caisse,Définir des besoins en approvisionnement,Entretenir, nettoyer un espace, un lieu, un local,Adapter une stratégie de vente à une cible ou un produit,Contrôler l'état des stocks,Présenter et valoriser un produit ou un service,Organiser, aménager un espace de vente,Acceuillir, orienter, informer une personne",,recrutementcvnoumea@gmail.com
H2902,2025-04-25,Chaudronnier traceur / Chaudronnière traceuse,2025-04-25 15:22:18+00,Dès que possible,Chaudronnerie ou Isolation thermique,,1,2025-04-021693,2025-04-25 15:22:18+00,"CAP, BEP",Au moins 3 ans,Yaté,John Cockerill Services Pacifique,98801 NOUMEA CEDEX,"Réaliser des marquages,Utiliser des logiciels de conception,Assembler et positionner les pièces, plaques, tubes (soudure-pointage, rivet, agrafe, colle, ...),Contrôler les pièces, l'assemblage,Réaliser des opérations de détourage, poinçonnage,Réaliser des opérations de soudage,Tailler, découper des matériaux,Calculer des développés en fonction de paramètres (matière, épaisseur, outils, rayons),Transformer une matière première,Réaliser un gabarit,Découper, tailler des matières premières,Réaliser les finitions (meulage, ébavurage, redressage)",,recrutement@johncockerill.nc
M1203,2025-03-06,Comptable,2025-03-06 08:16:00+00,Dès que possible,,,1,2025-03-021243,2025-03-06 08:16:00+00,Bac +2,Au moins 5 ans,Nouméa,ABI SHARP CENTER,98802 NOUMEA CEDEX,"Réaliser un suivi de trésorerie,Superviser des opérations d'inventaire comptable,Utiliser les outils bureautiques,Saisir les factures,Saisir des titres,Réviser une procédure comptable,Réaliser des opérations comptables","Fiscalité,Outils bureautiques,Logiciels comptables,Gestion comptable,Gestion administrative",c.tourdot@sharp-center.nc
M1806,2025-04-11,Consultant / Consultante IT,2025-04-11 11:11:22+00,Dès que possible,,,1,2025-04-021592,2025-04-11 11:11:22+00,Bac + 5 et plus,Au moins 3 ans,Nouméa,Delta Consulting,98800 Nouméa,"Structurer, synthétiser des informations,Rédiger un rapport, un compte rendu d'activité,Procéder aux phases de tests et de recettes des applications développées,Mener et exploiter une analyse stratégique,Élaborer des solutions techniques et fonctionnelles,Gérer les ressources humaines,Animer, coordonner une équipe,Contrôler la conformité des données ou des documents,Présenter les évolutions du système d'information au commanditaire,Mettre en oeuvre les actions de transformation nécessaires aux changements,Rédiger un cahier des charges, des spécifications techniques,Recenser les besoins du commanditaire,Analyser les processus métier","Méthode AGILE,Méthodes d'analyse (systémique, fonctionnelle, de risques, ...),Animation d'instances agiles (mêlée, démonstration, rétrospective, ¿),Méthodologie Scrum",pierre.dorchies@delta-consulting.org
J1303,2025-05-01,Assistant / Assistante dentaire,2025-03-18 19:27:42+00,"",Assistante Dentaire,,1,2025-03-021366,2025-03-18 19:27:42+00,Bac +2,Au moins 1 an,Nouméa,SELARL Cabinet Dentaire Dr Huet,98800 NOUMEA,"Conseiller, accompagner une personne,Préparer les accessoires de radiologie et procéder au développement des clichés,Réceptionner les éléments médico-techniques et en informer le praticien, le patient en vue de l'intervention,Désinfecter et décontaminer un équipement,Renseigner des documents médico-administratifs,Contrôler l'état des stocks,Établir des éléments d'une commande,Préparer le matériel, les produits selon les indications du praticien et la nature de l'intervention,Assister le praticien dentaire (présentation des instruments) pendant l'intervention,Définir des besoins en approvisionnement,Assurer la gestion administrative d'une activité,Planifier des rendez-vous selon le type d'intervention et le degré d'urgence,Accueillir, orienter et renseigner un patient,Transmettre de l'information,Préparer, installer un dispositif médico-technique",,doc.huet@gmail.com
J1307,2025-07-01,Préparateur / Préparatrice en pharmacie,2025-04-23 10:18:28+00,"",BP PREPARATEUR PREPARATRICE EN PHARMACIE,1 an(s),1,2025-04-021674,2025-04-23 10:18:28+00,Bac +2,Au moins 10 ans,Nouméa,PHARMACIE GALLIENI ROCADE,98800 Nouméa,"Délivrer une prescription médicale,Informer sur les modalités de la prescription,Réaliser des préparations pharmaceutiques,Désinfecter et décontaminer un équipement,Réaliser le suivi de délivrance des médicaments dans l'ordonnancier,Contrôler l'état des stocks,Contrôler la modalité de délivrance de certains médicaments spécifiques (stupéfiants, ¿),Établir des éléments d'une commande,Informer le personnel soignant sur des produits pharmaceutiques,Détruire des déchets,Définir des besoins en approvisionnement,Transmettre de l'information,Contrôler la conformité des données ou des documents,Conditionner un produit pharmaceutique,Identifier la demande du service de soins ou du patient,Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison","Modalités de stockage,Homéopathie,Procédures de stérilisation du matériel,Modalités de stockage des produits pharmaceutiques,Guide des Bonnes Pratiques de Préparation Officinale -G.B.P.O-,Réglementation des médicaments à statut particulier (stupéfiants, substances toxiques, ...),Phytothérapie,Règles d'hygiène et d'asepsie",pharmacie.gallieni@rocade.fr
D1202,2025-04-28,Coiffeur barbier / Coiffeuse barbière,2025-04-28 16:18:46+00,Dès que possible,,3 mois,1,2025-04-021709,2025-04-28 16:18:46+00,"CAP, BEP",Au moins 3 ans,Nouméa,Sarl tropical beauty by Eriknana,98800 Nouméa,"Accueillir le client et l'installer,Développer et fidéliser la relation client,Identifier la coiffure attendue (coupe, coloration, traitement, ...) et conseiller le client (morphologie, implantation des cheveux, ...),Réaliser des prestations de coiffure,Réaliser une coupe ou une coiffure,Procéder à l'encaissement,Présenter au client sa coiffure sous différents angles pour recueillir son avis,Entretenir, nettoyer un espace, un lieu, un local,Vendre une prestation ou un produit,Présenter et valoriser un produit ou un service,Entretenir un outil ou matériel",,tropicalbeauty.nc@gmail.com
H1504,2025-04-08,Technicien / Technicienne de contrôle-qualité en électricité,2025-04-08 23:52:32+00,Dès que possible,,,1,2025-04-021565,2025-04-08 23:52:32+00,Bac +2,Au moins 3 ans,Nouméa,BUREAU VERITAS,98895 NOUMEA CEDEX,"Utiliser les outils bureautiques,Analyser un dysfonctionnement ou une non-conformité,Sélectionner le matériel de contrôle ou d'essais et vérifier sa conformité,Respecter les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE),Contrôler une installation électrique,Transmettre de l'information,Contrôler l'état de fonctionnement d'un appareil,Rendre compte de son activité,Réaliser une intervention nécessitant une habilitation,Renseigner les supports de suivi d'intervention et rédiger les procès-verbaux (essais, contrôles, ...)",,roselyne.chaverot@bureauveritas.com
N4105,2025-04-28,Chauffeur-livreur préparateur / Chauffeuse-livreuse préparatrice de commande,2025-04-28 16:54:54+00,Dès que possible,,,1,2025-04-021710,2025-04-28 16:54:54+00,"CAP, BEP",Au moins 3 ans,Nouméa,MODULIA,98801 NOUMEA CEDEX,"Effectuer le suivi des commandes, la facturation,Vérifier l'exactitude et la conformité de documents de transport de marchandises,Conduire un poids lourd,Livrer une commande,Respecter les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE),Charger, décharger, manutentionner des produits,Répondre aux attentes d'un client","Chariots à mât rétractable (CACES R 489-5) - Depuis le 01/01/2020,Règles de conduite et de sécurité routière,Véhicule poids lourds de moins de 7,5 t,Lecture de plan urbain,Maintenance de véhicules,Grues auxiliaires de chargement de véhicules (CACES R 390)",recrutement@modulia.nc
J1307,2025-07-01,Préparateur / Préparatrice en pharmacie,2025-04-23 10:22:55+00,"",BP PREPARATEUR PREPARATRICE EN PHARMACIE,,1,2025-04-021675,2025-04-23 10:22:55+00,Bac +2,Au moins 3 ans,Nouméa,PHARMACIE GALLIENI ROCADE,98800 Nouméa,"Délivrer une prescription médicale,Informer sur les modalités de la prescription,Réaliser des préparations pharmaceutiques,Désinfecter et décontaminer un équipement,Réaliser le suivi de délivrance des médicaments dans l'ordonnancier,Contrôler l'état des stocks,Contrôler la modalité de délivrance de certains médicaments spécifiques (stupéfiants, ¿),Établir des éléments d'une commande,Informer le personnel soignant sur des produits pharmaceutiques,Détruire des déchets,Définir des besoins en approvisionnement,Transmettre de l'information,Contrôler la conformité des données ou des documents,Conditionner un produit pharmaceutique,Identifier la demande du service de soins ou du patient,Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison","Modalités de stockage,Homéopathie,Procédures de stérilisation du matériel,Modalités de stockage des produits pharmaceutiques,Guide des Bonnes Pratiques de Préparation Officinale -G.B.P.O-,Réglementation des médicaments à statut particulier (stupéfiants, substances toxiques, ...),Phytothérapie,Règles d'hygiène et d'asepsie",pharmacie.gallieni@rocade.fr
D1407,2025-03-26,Attaché technico-commercial / Attachée technico-commerciale,2025-03-26 08:18:09+00,Dès que possible,Commerce / vente,3 mois,1,2025-03-021441,2025-03-26 08:18:09+00,Bac +2,Au moins 5 ans,Nouméa,QUINCAILLERIE CALEDONIENNE,98845 Nouméa Cédex,"Développer et fidéliser la relation client,Établir un plan de tournée de prospection (ciblage, interlocuteurs, préparation de dossiers techniques),Mettre en oeuvre des actions commerciales et promotionnelles,Établir un devis,Effectuer le suivi des commandes, la facturation,Établir un contrat de vente,Analyser les résultats des ventes,Négocier un contrat,Réaliser une étude d'opportunité et de faisabilité technique et économique,Élaborer une stratégie commerciale,Évaluer la mise en oeuvre d'un projet, plan d'action","Logiciel de gestion clients,Typologie du client,Techniques commerciales",recrutement@quincaillerie.nc
C1205,2025-03-26,Conseiller / Conseillère en gestion de patrimoine financier,2025-03-26 18:04:20+00,Dès que possible,"finance, gestion ou école de commerce",,2,2025-03-021450,2025-03-26 18:04:20+00,Bac + 5 et plus,Au moins 3 ans,Nouméa,IFP PATRIMOINE,98807 NOUMEA CEDEX,"Établir le bilan patrimonial d'un client,Développer et fidéliser la relation client,Établir, mettre à jour un dossier, une base de données,Rédiger des rapports d'activité,Gérer un patrimoine, un portefeuille d'actifs,Analyser la situation financière d'un client,Déterminer des mesures correctives,Respecter la confidentialité des informations,Développer un portefeuille clients et prospects",,brouveyrol@ifp.nc
